State,Unemployment Rate Age 25-62 w/ Bachelors Degree,State Code,Year
Ohio,3.0,39,2015
Ohio,2.7,39,2016
Ohio,2.4,39,2017
Ohio,2.1,39,2018
Ohio,2.0,39,2019
Ohio,2.1,39,2020
Ohio,2.2,39,2021
Ohio,2.2,39,2022
