State,Unemployment Rate (%) Ages 16+,State Code,Year
National,8.3,National,2015
National,7.4,National,2016
National,6.6,National,2017
National,5.9,National,2018
National,5.3,National,2019
National,5.4,National,2020
National,5.5,National,2021
National,5.3,National,2022
