State,Unemployment Rate (%) Ages 16+,State Code,Year
New York,8.2,36,2015
New York,7.5,36,2016
New York,6.8,36,2017
New York,6.0,36,2018
New York,5.5,36,2019
New York,5.7,36,2020
New York,6.2,36,2021
New York,6.2,36,2022
